Collection,Nid,Title,Contributing Institution,Contributor,Coverage,Creator,Date Digital,Date Original (Precise),Date Original (Precise),Decade,Description,Digitization Specifications,Excerpt,Folder,Format,Image,Language,Publisher,Relation,Resource Identifier,Rights Management,Series,Source,Subject,Transcript,Type,Video
,,,,,Saint Lawrence County,,,,,,,,,,,,,,,,,,,Green manure crops,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm tractors,,,
,,,,,,,,,,,,,,,,,,,,,,,,Harrowing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Sowing,,,
,,,,,,,,,,,,,,,,,,,,,,,,Soil management,,,
Back to the Land,71,Woman with child on lap,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0009_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4x8 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Child rearing,,,
Back to the Land,72,Pause from Work,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"David Katz, Doug Jones and friends in the fields at Birdsfoot Farm.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0010_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4 7/8x7 3/4 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
Back to the Land,73,Mulched Tomatoes at Birdsfoot Farm,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0011_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5 1/2x8 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Tomatoes,,,
,,,,,,,,,,,,,,,,,,,,,,,,Organic gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vegetable gardening,,,
,,,,,,,,,,,,,,,,,,,,,,,,Farm produce,,,
,,,,,,,,,,,,,,,,,,,,,,,,Gardens,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mulching,,,
Back to the Land,74,Woman with child on lap 2,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0012_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 3 5/8x7 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Child rearing,,,
Back to the Land,75,Woman with child on lap 3,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,Valerie Summer with daughter Prairie Rose Summer on the Birdsfoot porch.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0013_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 3 1/2x6 3/8 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Children,,,
,,,,,,,,,,,,,,,,,,,,,,,,Porches,,,
,,,,,,,,,,,,,,,,,,,,,,,,Child rearing,,,
Back to the Land,76,Girl on Horse with Cattle,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,Phaedra Wilson riding horse Sinda at Birdsfoot Farm.,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0014_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4x7 3/4 in.",Organic farming,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Sustainable agriculture,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birdsfoot Farm,,,
,,,,,,,,,,,,,,,,,,,,,,,,Animal husbandry,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cattle,,,
Back to the Land,77,Photograph - Aerial,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0015_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4 3/4x7 in.","Land use, Rural",,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farms,,,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Orchards,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Woodlots,,,
Back to the Land,78,Photograph - Aerial,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0016_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4 1/2x6 3/4 in.","Land use, Rural",,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Croplands,,,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Orchards,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Woodlots,,,
Back to the Land,79,Photograph - Aerial,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0017_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 3 1/4x7 in.","Land use, Rural",,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Meadows,,,
,,,,,,,,,,,,,,,,,,,,,,,,Pastures,,,
,,,,,,,,,,,,,,,,,,,,,,,,Woodlots,,,
Back to the Land,80,Tractor Ride,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,,"Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0018_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 4x8 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Farm Tractors,,,
,,,,,,,,,,,,,,,,,,,,,,,,Birthday party,,,
,,,,,,,,,,,,,,,,,,,,,,,,Recreation,,,
,,,,,,,,,,,,,,,,,,,,,,,,Celebrations,,,
Back to the Land,81,Making Music,,"Katz, David",,"Jones, Doug",20-Nov-09,,,,"Fourth of July party at Birdsfoot Farm. Unknown woman with guitar, Chuck Beeler sitting on fence with banjo, Ron Nolland, unknown, Valerie Summer leaning over. then unknown, David Thaler, unknown, Rebecca Wilson laughing, unknown, David Katz with bass, Stephaine Farrell on right then +unknown child on far right. Circa 1980.","Scanned at 600ppi on Epson 1000XL scanner as 48-bit RGB uncompressed TIFF images. Images resized to 960 pixels wide, 150 dpi, and saved as JPEG (level 7) in Photoshop CS4 with Unsharp Mask of 60:1.",,,image/jpeg,xlm_david_katz_0020_sc.jpg,,,Back to the Land,Private Collection,Original materials may be protected by the Copyright Law of the United States (more information).,,"Original version: photograph, b&w; 5x7 3/4 in.",Birdsfoot Farm,,Image,
,,,,,,,,,,,,,,,,,,,,,,,,Communal living,,,
,,,,,,,,,,,,,,,,,,,,,,,,Entertaining,,,
,,,,,,,,,,,,,,,,,,,,,,,,Partying,,,
